Country Name,Country Code,Indicator Name,Indicator Code,Year,Value
Brazil,BRA,Individuals using the Internet (% of population),IT.NET.USER.ZS,2011,45.69
Brazil,BRA,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,2011,44.59641991267991
Canada,CAN,Individuals using the Internet (% of population),IT.NET.USER.ZS,2011,83.0
Canada,CAN,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,2011,1641.9417318756298
China,CHN,Individuals using the Internet (% of population),IT.NET.USER.ZS,2011,38.3
China,CHN,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,2011,1.9560829272100724
Germany,DEU,Individuals using the Internet (% of population),IT.NET.USER.ZS,2011,81.26999953602
Germany,DEU,"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,2011,78.07
Germany,DEU,"Individuals using the Internet, male (% of male population)",IT.NET.USER.MA.ZS,2011,84.49
Germany,DEU,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,2011,1471.9031457160197
India,IND,Individuals using the Internet (% of population),IT.NET.USER.ZS,2011,10.07
India,IND,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,2011,2.253364866423345
Japan,JPN,Individuals using the Internet (% of population),IT.NET.USER.ZS,2011,79.0541135244739
Japan,JPN,"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,2011,73.7116
Japan,JPN,"Individuals using the Internet, male (% of male population)",IT.NET.USER.MA.ZS,2011,84.7748
Japan,JPN,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,2011,679.6210681123027
Nigeria,NGA,Individuals using the Internet (% of population),IT.NET.USER.ZS,2011,13.80000019
Nigeria,NGA,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,2011,0.9044250413050916
South Africa,ZAF,Individuals using the Internet (% of population),IT.NET.USER.ZS,2011,33.97
South Africa,ZAF,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,2011,80.78089329025144
United Kingdom,GBR,Individuals using the Internet (% of population),IT.NET.USER.ZS,2011,85.3799985496322
United Kingdom,GBR,"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,2011,84.41
United Kingdom,GBR,"Individuals using the Internet, male (% of male population)",IT.NET.USER.MA.ZS,2011,86.38
United Kingdom,GBR,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,2011,1811.9531492925648
United States,USA,Individuals using the Internet (% of population),IT.NET.USER.ZS,2011,69.7294607619268
United States,USA,"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,2011,70.0752
United States,USA,"Individuals using the Internet, male (% of male population)",IT.NET.USER.MA.ZS,2011,69.3692
United States,USA,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,2011,2983.814161992796
Brazil,BRA,Individuals using the Internet (% of population),IT.NET.USER.ZS,2012,48.56
Brazil,BRA,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,2012,71.41039066949062
Canada,CAN,Individuals using the Internet (% of population),IT.NET.USER.ZS,2012,83.0
